## 表1：每只基金 → 穿透重仓个股的占用资金 & 今日盈亏

### 中欧新蓝筹A（166002）估算规模=8.7万 股票账户=6.6万 估算涨跌=-0.47% 今日盈亏=-120.67元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
| 裕同科技 | 002831 | 1只 | 809 | +0.00% | +0.00 |
| 华翔股份 | 603112 | 1只 | 776 | +0.00% | +0.00 |
| 韵达股份 | 002120 | 1只 | 740 | +0.00% | +0.00 |
| 南山铝业 | 600219 | 1只 | 705 | +0.00% | +0.00 |
| 微软 | MSFT | 1只 | 1125 | +0.00% | +0.00 |
| 英伟达 | NVDA | 1只 | 780 | +0.00% | +0.00 |
| Meta Platforms Inc-A | META | 1只 | 584 | +0.00% | +0.00 |
| 亚马逊 | AMZN | 1只 | 519 | +0.00% | +0.00 |
| 现在服务公司 | NOW | 1只 | 508 | +0.00% | +0.00 |
| 新东方-S | 09901 | 1只 | 475 | +0.00% | +0.00 |
| 奥多比 | ADBE | 1只 | 422 | +0.00% | +0.00 |
| 维萨 | V | 1只 | 410 | +0.00% | +0.00 |
| 优步 | UBER | 1只 | 391 | +0.00% | +0.00 |
| Workday Inc-A | WDAY | 1只 | 370 | +0.00% | +0.00 |
| 川投能源 | 600674 | 1只 | 641 | +0.00% | +0.00 |
| 华能水电 | 600025 | 1只 | 633 | +0.00% | +0.00 |
| 洛阳钼业 | 03993 | 1只 | 487 | +0.00% | +0.00 |
| 神火股份 | 000933 | 1只 | 464 | +0.00% | +0.00 |
| 铜陵有色 | 000630 | 1只 | 445 | +0.00% | +0.00 |
| 广信股份 | 603599 | 1只 | 398 | +0.00% | +0.00 |
| 台积电 | TSM | 1只 | 589 | +0.00% | +0.00 |
| 阿里巴巴-SW | 09988 | 1只 | 589 | +0.00% | +0.00 |
| 华住集团-S | 01179 | 1只 | 362 | +0.00% | +0.00 |
| 阿斯麦 | ASML | 1只 | 327 | +0.00% | +0.00 |
| 普拉达 | 01913 | 1只 | 322 | +0.00% | +0.00 |
| 新秀丽 | 01910 | 1只 | 316 | +0.00% | +0.00 |
| 超威半导体 | AMD | 1只 | 301 | +0.00% | +0.00 |
| 香港交易所 | 00388 | 1只 | 252 | +0.00% | +0.00 |
| 京沪高铁 | 601816 | 1只 | 83 | +0.00% | +0.00 |
| 中谷物流 | 603565 | 1只 | 61 | +0.00% | +0.00 |
| 豪迈科技 | 002595 | 1只 | 59 | +0.00% | +0.00 |
| 华友钴业 | 603799 | 1只 | 48 | +0.00% | +0.00 |
| 上海机场 | 600009 | 1只 | 47 | +0.00% | +0.00 |
| 容百科技 | 688005 | 1只 | 33 | +0.00% | +0.00 |
| 浙江鼎力 | 603338 | 1只 | 30 | +0.00% | +0.00 |
| 长沙银行 | 601577 | 1只 | 330 | +0.00% | +0.00 |
| 百润股份 | 002568 | 1只 | 307 | +0.00% | +0.00 |
| 新城控股 | 601155 | 1只 | 279 | +0.00% | +0.00 |
| 格力电器 | 000651 | 1只 | 273 | +0.00% | +0.00 |
| 邮储银行 | 601658 | 1只 | 204 | +0.00% | +0.00 |
| 中矿资源 | 002738 | 1只 | 160 | +0.00% | +0.00 |
| 潍柴动力 | 000338 | 1只 | 159 | +0.00% | +0.00 |
| 珀莱雅 | 603605 | 1只 | 153 | +0.00% | +0.00 |
| 伟星股份 | 002003 | 1只 | 139 | +0.00% | +0.00 |
| 圆通速递 | 600233 | 1只 | 251 | +0.00% | +0.00 |
| 招商银行 | 600036 | 1只 | 192 | +0.00% | +0.00 |
| 华鲁恒升 | 600426 | 1只 | 184 | +0.00% | +0.00 |
| 建设银行 | 601939 | 1只 | 164 | +0.00% | +0.00 |
| 农业银行 | 601288 | 1只 | 163 | +0.00% | +0.00 |
| 青岛啤酒 | 600600 | 1只 | 159 | +0.00% | +0.00 |
| 五粮液 | 000858 | 1只 | 141 | +0.00% | +0.00 |
| 金域医学 | 603882 | 1只 | 397 | +0.00% | +0.00 |
| 惠泰医疗 | 688617 | 1只 | 249 | +0.00% | +0.00 |
| 科伦药业 | 002422 | 1只 | 236 | +0.00% | +0.00 |
| 爱尔眼科 | 300015 | 1只 | 212 | +0.00% | +0.00 |
| 奕瑞科技 | 688301 | 1只 | 203 | +0.00% | +0.00 |
| 恩华药业 | 002262 | 1只 | 193 | +0.00% | +0.00 |
| 新产业 | 300832 | 1只 | 156 | +0.00% | +0.00 |
| 爱博医疗 | 688050 | 1只 | 138 | +0.00% | +0.00 |
| 重庆啤酒 | 600132 | 1只 | 58 | -1.13% | -0.66 |
| 新易盛 | 300502 | 1只 | 1560 | -0.20% | -3.12 |
| 恒瑞医药 | 600276 | 1只 | 449 | -0.74% | -3.32 |
| 中远海能 | 600026 | 1只 | 1627 | -0.79% | -12.85 |
| 春秋航空 | 601021 | 2只 | 5373 | -0.25% | -13.43 |
| 牧原股份 | 002714 | 1只 | 5179 | -0.43% | -22.27 |
| 中国移动 | 600941 | 1只 | 2640 | -1.06% | -27.98 |
| 海螺水泥 | 600585 | 1只 | 3029 | -0.95% | -28.78 |
| 万华化学 | 600309 | 1只 | 4654 | -0.77% | -35.84 |
| 中国核电 | 601985 | 3只 | 3869 | -1.00% | -38.69 |
| 贵州茅台 | 600519 | 3只 | 4062 | -1.03% | -41.84 |
| 常熟银行 | 601128 | 2只 | 2904 | -1.91% | -55.47 |
| 中国船舶 | 600150 | 1只 | 2364 | -2.83% | -66.89 |
| 美的集团 | 000333 | 1只 | 4887 | -1.37% | -66.95 |

**穿透个股汇总：合计占用资金 18.3万 合计盈亏 +1497.19元**
